blackwash, blackwashed, blackwashed, blackwashing
blame, blamed, blamed, blaming
blanch, blanched, blanched, blanching
blandish, blandished, blandished, blandishing
blank, blanked, blanked, blanking
blanket, blanketed, blanketed, blanketing
blare, blared, blared, blaring
blarney, blarneied, blarneied, blarneying
blaspheme, blasphemed, blasphemed, blaspheming
blast, blasted, blasted, blasting
blat, blated, blated, blating
blate, blated, blated, blating
blather, blathered, blathered, blathering
blaze, blazed, blazed, blazing
blazon, blazoned, blazoned, blazoning
bleach, bleached, bleached, bleaching
blear, bleared, bleared, blearing
bleat, bleated, bleated, bleating
bleed, bleeded, bleeded, bleeding
bleep, bleeped, bleeped, bleeping
blemish, blemished, blemished, blemishing
blench, blenched, blenched, blenching
blend, blended, blended, blending
bless, blessed, blessed, blessing
blether, blethered, blethered, blethering
blight, blighted, blighted, blighting
blind, blinded, blinded, blinding
blindfold, blindfolded, blindfolded, blindfolding
blindside, blindsided, blindsided, blindsiding
blink, blinked, blinked, blinking
blinker, blinkered, blinkered, blinkering
blister, blistered, blistered, blistering
blither, blithered, blithered, blithering
blitz, blitzed, blitzed, blitzing
blitzkrieg, blitzkrieged, blitzkrieged, blitzkrieging
